,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Paranga,0.0,RU,1580176465.0,96.0,56.7,49.4,-9.51,4.0
1,Sitka,75.0,US,1580176232.0,74.0,57.05,-135.33,37.4,11.41
2,Saurimo,100.0,AO,1580176466.0,85.0,-9.66,20.39,65.71,1.97
3,Nikolskoye,90.0,CA,1580176388.0,92.0,59.7,30.79,24.8,6.71
4,Yellowknife,40.0,CL,1580176372.0,76.0,62.46,-114.35,18.0,3.36
5,Punta Arenas,28.0,NZ,1580176336.0,49.0,-53.15,-70.92,48.2,17.22
6,Tuatapere,80.0,AU,1580176469.0,61.0,-46.13,167.68,66.99,7.0
7,Geraldton,1.0,PF,1580176429.0,84.0,-28.77,114.6,82.4,11.18
8,Angarsk,48.0,PT,1580176471.0,75.0,52.54,103.89,1.4,11.54
9,Atuona,83.0,ES,1580176299.0,100.0,-9.8,-139.03,81.72,20.8
10,Vila Franca do Campo,71.0,ZA,1580176472.0,82.0,37.72,-25.43,62.6,9.17
11,High Level,42.0,AR,1580176473.0,80.0,58.52,-117.14,15.8,8.7
12,Teguise,30.0,ID,1580176474.0,50.0,29.06,-13.56,60.8,10.29
13,Kurlovo,99.0,CN,1580175937.0,97.0,55.43,40.49,17.49,8.5
14,Kununurra,20.0,IS,1580176093.0,87.0,-15.77,128.73,95.0,8.05
15,Chokurdakh,7.0,BR,1580176342.0,65.0,70.63,147.92,-21.78,2.33
16,Cape Town,76.0,VN,1580176478.0,81.0,-33.93,18.42,61.0,6.93
17,Kapaa,13.0,MU,1580175961.0,93.0,22.08,-159.32,80.6,2.93
18,Sterling,67.0,PW,1580176359.0,73.0,39.01,-77.43,42.8,12.37
19,Baykit,18.0,TL,1580175971.0,39.0,61.67,96.37,9.95,7.4
20,Ushuaia,62.0,SE,1580176195.0,71.0,-54.8,-68.3,46.4,4.7
21,Waingapu,95.0,MX,1580176293.0,72.0,39.61,120.26,84.22,11.95
22,Fernley,97.0,GL,1580176290.0,23.0,-23.12,-119.25,51.8,10.83
23,Rikitea,51.0,NA,1580176483.0,91.0,-38.0,-134.97,80.13,2.35
24,Mar del Plata,81.0,JP,1580176069.0,88.0,31.26,-57.56,62.01,1.12
25,Lujiang,78.0,KI,1580176485.0,95.0,64.89,117.28,35.6,8.01
26,Olafsvik,73.0,MR,1580176418.0,57.0,-33.65,-23.71,33.69,7.16
27,Busselton,34.0,GF,1580176486.0,38.0,-2.54,115.33,93.0,5.82
28,Urucara,55.0,EC,1580176487.0,52.0,-34.53,-57.76,74.66,4.27
29,Bredasdorp,2.0,CV,1580175955.0,68.0,71.97,20.04,55.4,8.23
30,Khatanga,93.0,GR,1580175936.0,58.0,9.18,102.5,-15.7,5.12
31,Ca Mau,26.0,TZ,1580176302.0,69.0,-20.01,105.15,86.77,5.55
32,Grand Gaube,32.0,CI,1580175933.0,60.0,7.04,57.66,72.0,6.38
33,Kloulklubed,9.0,NE,1580176490.0,78.0,42.6,134.26,84.2,7.25
34,Albany,6.0,YE,1580176491.0,27.0,32.67,-73.97,36.0,5.21
35,Ponta do Sol,10.0,UY,1580176391.0,98.0,71.92,-17.1,59.0,13.87
36,Saskylakh,68.0,MY,1580176492.0,37.0,-38.55,114.08,-23.1,7.34
37,Necochea,41.0,MV,1580176493.0,44.0,-34.73,-58.74,55.0,5.99
